Team,Name,Position,Points,Games Played,Games Played Percentage,Attack Attempts,Kills,Kill %,Attack Efficiency,Attack Error %,Block Stuffed Attack %,IN CONFERENCE Attack Attempts,IN CONFERENCE Kills,IN CONFERENCE Kill %,IN CONFERENCE Attack Efficiency,IN CONFERENCE Attack Error %,IN CONFERENCE Block Stuffed %,Reception Attempts,Average Passing Grade (3 Point Scale),Average Passing Grade (4 Point Scale),Good Pass %,Reception FBSO %,Serving Attempts,Aces Percentage,Serving Errors,Serving Error %,Point Scoring Percentage,Block Stuff Count,Block Touch %,Good Block Touch %,Block Error %,Defensive Touches,Digs,Digs %,CRT %,CNT %,R1 Attack Attempts,R1 Attack Efficiency,R2 Attack Attempts,R2 Attack Efficiency,R3 Attack Attempts,R3 Attack Efficiency,R4 Attack Attempts,R4 Attack Efficiency,R5 Attack Attempts,R5 Attack Efficiency,R6 Attack Attempts,R6 Attack Efficiency
Belmont Abbey,Aidan Acton,Outside,1,12,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4.2,4,16.7,50,0,0,0,0,2,1,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Ryan Charles,Outside,20,21,53.8,52,16,30.8,0.077,15.4,7.7,0,0,0,0,0,0,83,2.2,2.37,54.2,28.9,64,3.1,9,14.1,35.9,2,2.8,35,45,37,22,59.5,45.9,10.8,4,-0.25,18,-0.056,13,0.154,13,0.308,2,0,2,0
Belmont Abbey,Zach Cramer,Setter,0,11,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,11.1,0,0,0.6,75,25,3,3,100,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Caden Day,Outside,75,31,79.5,172,67,39,0.139,16.3,8.7,70,37,52.9,0.372,8.6,7.1,174,2.19,2.32,55.8,38.5,102,3.9,25,24.5,34.3,4,5.4,34,42.6,67,54,80.6,61.2,11.9,27,0.111,36,0.111,32,0.062,51,0.373,13,-0.154,13,-0.154
Belmont Abbey,Jibriel Elhaddad,Middle,86,32,82.1,130,65,50,0.362,6.2,7.7,60,32,53.3,0.383,10,5,5,2.2,2.4,60,40,118,0.8,13,11,36.5,20,11.3,44.8,33.3,26,16,61.5,50,7.7,0,0,0,0,37,0.514,61,0.164,62,0.403,2,0
Belmont Abbey,Evan Ford,Outside,4,2,5.1,9,3,33.3,0.333,0,0,9,3,33.3,0.333,0,0,2,2.5,2.5,50,100,3,33.3,0,0,66.7,0,0,0,0,2,2,100,100,50,0,0,7,0.286,0,0,1,0,0,0,1,1
Belmont Abbey,Garrett Hockman,Middle,45,25,64.1,70,34,48.6,0.286,12.9,7.1,43,22,51.2,0.302,14,7,0,0,0,0,0,60,6.7,9,15,40,7,8,48.5,35.3,12,10,83.3,75,33.3,17,0.412,21,0.095,0,0,0,0,1,1,31,0.323
Belmont Abbey,Zeke Jarzyniecki,Outside,0,1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Brian Knoerr,Opposite,0,2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,33.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Alejandro Leon,Libero,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,205,2.3,2.55,62.4,38.5,0,0,0,0,0,0,0,0,0,77,50,64.9,49.4,18.2,0,0,0,0,0,0,0,0,0,0,0,0
